,STATENAME,COUNTYNAME,ADDRESS_CITY,ORI9,actual,cleared,data_year,offense,ori,state_abbr
91,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,1010,304,2016,property-crime,NH0092000,NH
92,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,12,0,2016,rape,NH0092000,NH
93,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,0,0,2016,rape-legacy,NH0092000,NH
94,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,17,10,2016,robbery,NH0092000,NH
95,NEW HAMPSHIRE,STRAFFORD,ROCHESTER,NH0092000,107,50,2016,violent-crime,NH0092000,NH
96,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,2,2,2016,aggravated-assault,NH0092200,NH
97,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,0,0,2016,arson,NH0092200,NH
98,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,6,2,2016,burglary,NH0092200,NH
99,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,0,0,2016,homicide,NH0092200,NH
100,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,0,0,2016,human-trafficing,NH0092200,NH
101,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,24,4,2016,larceny,NH0092200,NH
102,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,0,0,2016,motor-vehicle-theft,NH0092200,NH
103,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,30,6,2016,property-crime,NH0092200,NH
104,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,1,0,2016,rape,NH0092200,NH
105,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,0,0,2016,rape-legacy,NH0092200,NH
106,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,0,0,2016,robbery,NH0092200,NH
107,NEW HAMPSHIRE,STRAFFORD,ROLLINSFORD,NH0092200,3,2,2016,violent-crime,NH0092200,NH
108,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,16,12,2016,aggravated-assault,NH0092400,NH
109,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,8,0,2016,arson,NH0092400,NH
110,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,25,8,2016,burglary,NH0092400,NH
111,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,0,0,2016,homicide,NH0092400,NH
112,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,0,0,2016,human-trafficing,NH0092400,NH
113,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,320,98,2016,larceny,NH0092400,NH
114,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,12,1,2016,motor-vehicle-theft,NH0092400,NH
115,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,357,107,2016,property-crime,NH0092400,NH
116,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,11,0,2016,rape,NH0092400,NH
117,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,0,0,2016,rape-legacy,NH0092400,NH
118,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,7,6,2016,robbery,NH0092400,NH
119,NEW HAMPSHIRE,STRAFFORD,SOMERSWORTH,NH0092400,34,18,2016,violent-crime,NH0092400,NH
120,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,1,1,2016,aggravated-assault,NH0092600,NH
121,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,0,0,2016,arson,NH0092600,NH
122,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,7,2,2016,burglary,NH0092600,NH
123,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,0,0,2016,homicide,NH0092600,NH
124,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,0,0,2016,human-trafficing,NH0092600,NH
125,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,17,0,2016,larceny,NH0092600,NH
126,NEW HAMPSHIRE,STRAFFORD,CTR. STRAFFORD,NH0092600,2,0,2016,motor-vehicle-theft,NH0092600,NH
