,Unnamed: 0,State,County,Female Civilians,Female Officers,Male Civilians,Male Officers,Crime Cleared Count aggravated-assault,Crime Cleared Count arson,Crime Cleared Count burglary,Crime Cleared Count homicide,Crime Cleared Count human-trafficing,Crime Cleared Count larceny,Crime Cleared Count motor-vehicle-theft,Crime Cleared Count property-crime,Crime Cleared Count rape,Crime Cleared Count rape-legacy,Crime Cleared Count robbery,Crime Cleared Count violent-crime,Total Crime Count aggravated-assault,Total Crime Count arson,Total Crime Count burglary,Total Crime Count homicide,Total Crime Count human-trafficing,Total Crime Count larceny,Total Crime Count motor-vehicle-theft,Total Crime Count property-crime,Total Crime Count rape,Total Crime Count rape-legacy,Total Crime Count robbery,Total Crime Count violent-crime,Total Cleared,Total Crime,Total Clear Rate,Total Female Workforce,Total Male Workforce,Total Workforce,Total Officers,Total Violent Cleared,Total Non-Violent Cleared,Total Violent Crime,Total Non-Violent Crime
493,493,TEXAS,WILSON,33,4,16,57,35,2,31,1,0,140,23,194,2,0,6,44,48,2,112,1,0,350,54,516,5,0,5,59,478,1152,0.414930556,37,73,110,61,88,390,118,1034
494,494,TEXAS,WINKLER,19,0,8,24,2,0,3,0,0,9,2,14,0,0,1,3,3,0,25,0,0,50,8,83,0,0,1,4,34,174,0.195402299,19,32,51,24,6,28,8,166
495,495,UTAH,CACHE,62,8,68,141,33,1,54,1,0,411,34,499,13,0,5,52,40,10,212,2,0,1076,78,1366,36,0,8,86,1103,2914,0.378517502,70,209,279,149,104,999,172,2742
496,496,UTAH,CARBON,13,2,16,56,6,1,24,0,0,192,5,221,0,0,1,7,16,3,94,0,0,408,8,510,7,0,3,26,457,1075,0.425116279,15,72,87,58,14,443,52,1023
497,497,UTAH,PIUTE,1,0,0,4,0,0,2,0,0,1,0,3,0,0,0,0,2,0,6,0,0,7,0,13,0,0,0,2,6,30,0.2,1,4,5,4,0,6,4,26
498,498,VERMONT,BENNINGTON,13,5,4,59,40,0,23,4,0,136,10,169,3,0,7,54,45,0,112,4,0,434,26,572,5,0,10,64,446,1272,0.350628931,18,63,81,64,108,338,128,1144
499,499,VERMONT,FRANKLIN,6,3,3,63,42,0,22,5,0,143,6,171,2,0,2,51,53,5,140,5,0,605,7,752,9,0,5,72,444,1653,0.268602541,9,66,75,66,102,342,144,1509
500,500,VERMONT,GRAND ISLE,0,0,0,1,0,0,5,0,0,2,0,7,1,0,0,1,0,0,19,0,0,24,1,44,1,0,0,1,16,90,0.177777778,0,1,1,1,2,14,2,88
501,501,VERMONT,WASHINGTON,35,18,15,220,41,3,43,2,0,186,0,229,7,0,2,52,44,5,197,2,0,810,6,1013,26,0,4,76,565,2183,0.25881814,53,235,288,238,104,461,152,2031
502,502,VERMONT,WINDHAM,18,5,6,52,22,1,16,0,0,91,4,111,2,0,9,33,24,2,87,0,0,520,19,626,5,0,17,46,289,1346,0.214710253,23,58,81,57,66,223,92,1254
