,Unnamed: 0_x,County,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens,Unnamed: 0_y,Female Civilians,Female Officers,Male Civilians,Male Officers,Crime Cleared Count aggravated-assault,Crime Cleared Count arson,Crime Cleared Count burglary,Crime Cleared Count homicide,Crime Cleared Count human-trafficing,Crime Cleared Count larceny,Crime Cleared Count motor-vehicle-theft,Crime Cleared Count property-crime,Crime Cleared Count rape,Crime Cleared Count rape-legacy,Crime Cleared Count robbery,Crime Cleared Count violent-crime,Total Crime Count aggravated-assault,Total Crime Count arson,Total Crime Count burglary,Total Crime Count homicide,Total Crime Count human-trafficing,Total Crime Count larceny,Total Crime Count motor-vehicle-theft,Total Crime Count property-crime,Total Crime Count rape,Total Crime Count rape-legacy,Total Crime Count robbery,Total Crime Count violent-crime,Total Cleared,Total Crime,Total Clear Rate,Total Female Workforce,Total Male Workforce,Total Workforce,Total Officers,Overal Crime Rate,Overal Clear Rate,Workforce 2 Pop,Leo 2 Pop
275,1739,DODGE,NEBRASKA,36679.0,39.1,49830.0,26141.0,4192.0,11.428883012077756,828.0,278,8.0,4.0,0.0,55.0,25,4,27,0,0,105,2,134,4,2,1,32,39,11,114,0,0,550,38,702,23,7,7,76,336,1567,0.21442246330567968,12.0,55.0,67.0,59.0,0.04272199351127348,0.009160555086016521,0.0018266583058425803,0.0016085498514136155
276,2891,BLAND,VIRGINIA,6612.0,44.9,47800.0,22249.0,555.0,8.39382940108893,181.0,506,4.0,0.0,4.0,10.0,1,0,3,0,0,4,0,7,0,0,0,1,1,0,11,0,0,45,3,59,1,0,0,2,16,122,0.13114754098360654,4.0,14.0,18.0,10.0,0.018451300665456746,0.0024198427102238356,0.0027223230490018148,0.0015124016938898972
277,2892,BOTETOURT,VIRGINIA,33192.0,46.9,61470.0,32518.0,2732.0,8.230899011810076,690.0,507,19.0,11.0,4.0,85.0,21,0,22,0,0,73,12,107,8,0,1,30,23,1,34,0,0,190,13,237,13,0,1,37,274,549,0.4990892531876138,30.0,89.0,119.0,96.0,0.01654013015184382,0.008255001205109665,0.0035852012533140517,0.0028922631959508315
278,473,LAURENS,GEORGIA,47802.0,38.4,33632.0,19826.0,12972.0,27.136939876992606,1065.0,74,19.0,21.0,12.0,145.0,68,0,33,0,0,197,11,241,0,2,8,78,141,1,386,2,0,973,76,1435,0,15,48,206,638,3283,0.19433445019798964,40.0,157.0,197.0,166.0,0.0686791347642358,0.013346721894481403,0.004121166478390025,0.0034726580477804276
279,366,OKEECHOBEE,FLORIDA,39420.0,40.2,36415.0,17173.0,9105.0,23.097412480974125,1703.0,56,43.0,16.0,9.0,128.0,88,0,43,4,0,183,24,250,7,0,9,108,115,0,246,5,0,939,87,1272,19,0,17,156,716,2856,0.2507002801120448,59.0,137.0,196.0,144.0,0.07245053272450533,0.018163368848300356,0.004972095383054287,0.0036529680365296802
280,1797,THAYER,NEBRASKA,5163.0,48.3,45590.0,30057.0,603.0,11.679256246368391,37.0,289,3.0,0.0,1.0,7.0,0,0,2,0,0,2,0,4,0,0,0,0,1,1,2,0,0,51,2,55,0,0,0,1,8,113,0.07079646017699115,3.0,8.0,11.0,7.0,0.021886500096842922,0.0015494867325198528,0.0021305442572147975,0.0013558008909548712
281,9,CRAWFORD,ARKANSAS,61927.0,38.8,41792.0,20889.0,11491.0,18.5557188302356,1940.0,20,30.0,7.0,28.0,87.0,123,0,93,3,0,200,22,315,23,0,6,155,223,3,451,3,0,1141,122,1714,54,0,10,290,940,4011,0.2343555223136375,37.0,115.0,152.0,94.0,0.06476980961454616,0.015179162562371826,0.002454502882426082,0.0015179162562371825
282,2156,MEIGS,OHIO,23345.0,42.8,39640.0,21317.0,5247.0,22.475904904690513,1116.0,371,6.0,0.0,1.0,26.0,6,1,3,0,0,5,2,10,1,0,0,7,27,6,76,2,0,166,16,258,5,0,7,41,35,604,0.05794701986754967,6.0,27.0,33.0,26.0,0.025872777896765904,0.0014992503748125937,0.0014135789248233025,0.001113728849860784
283,677,LARUE,KENTUCKY,14127.0,40.8,41050.0,21204.0,2260.0,15.997734834005804,503.0,176,1.0,0.0,0.0,12.0,2,0,1,0,0,2,1,4,0,0,0,2,4,1,12,0,0,29,10,51,0,0,0,4,12,111,0.10810810810810813,1.0,12.0,13.0,12.0,0.007857294542365683,0.0008494372478233171,0.0009202236851419268,0.0008494372478233171
284,256,COSTILLA,COLORADO,3590.0,50.5,26610.0,20238.0,1092.0,30.417827298050145,152.0,40,3.0,0.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.0,6.0,9.0,6.0,0.0,0.0,0.0025069637883008357,0.001671309192200557
285,2240,MAYES,OKLAHOMA,40923.0,39.7,43302.0,21756.0,8454.0,20.65830950810058,1167.0,380,16.0,6.0,30.0,76.0,28,1,25,0,0,39,14,78,2,0,0,30,76,5,204,1,0,315,68,587,13,0,3,93,217,1365,0.15897435897435894,22.0,106.0,128.0,82.0,0.03335532585587567,0.005302641546318696,0.003127825428243286,0.0020037631649683554
286,1493,JASPER,MISSISSIPPI,16538.0,41.6,34993.0,19363.0,3641.0,22.015963236183328,432.0,240,6.0,0.0,4.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.0,20.0,26.0,16.0,0.0,0.0,0.0015721368968436328,0.0009674688595960818
287,1263,DORCHESTER,MARYLAND,32451.0,44.2,47907.0,28055.0,5435.0,16.748328248744258,1706.0,190,12.0,6.0,2.0,119.0,76,3,49,4,0,175,14,238,9,0,12,101,108,6,214,4,0,695,41,950,12,0,30,154,681,2214,0.3075880758807588,18.0,121.0,139.0,125.0,0.06822594064897845,0.020985485809374132,0.004283381097654926,0.0038519614187544297
288,842,VIGO,INDIANA,108099.0,36.1,41221.0,22079.0,20053.0,18.550587887029483,4205.0,131,24.0,11.0,9.0,175.0,41,10,78,4,0,295,50,423,5,0,28,78,63,85,908,5,0,2786,462,4156,34,4,107,213,1012,8823,0.1147002153462541,35.0,184.0,219.0,186.0,0.08161962645352872,0.009361788730700562,0.0020259206838176115,0.0017206449643382454
289,1881,SIERRA,NEW MEXICO,11442.0,56.0,29679.0,20495.0,2471.0,21.59587484705471,442.0,309,2.0,2.0,1.0,24.0,34,1,10,3,0,34,7,51,0,2,0,39,46,2,90,3,0,175,19,284,0,8,0,57,181,684,0.2646198830409357,4.0,25.0,29.0,26.0,0.05977975878342947,0.015818912777486455,0.0025345219367243488,0.002272330012235623
290,2132,PICKETT,TENNESSEE,5096.0,49.8,39014.0,20664.0,827.0,16.228414442700156,132.0,440,1.0,1.0,3.0,11.0,9,1,0,0,0,6,4,10,0,0,0,9,14,2,10,0,0,33,8,51,3,0,0,17,39,138,0.2826086956521739,2.0,14.0,16.0,12.0,0.02708006279434851,0.007653061224489796,0.0031397174254317113,0.002354788069073783
291,1499,LAMAR,MISSISSIPPI,59623.0,34.3,53888.0,28101.0,9535.0,15.99215068010667,2601.0,242,22.0,1.0,19.0,45.0,6,0,18,1,0,15,0,33,0,0,1,8,79,0,270,1,0,415,7,692,0,7,9,96,82,1576,0.05203045685279188,23.0,64.0,87.0,46.0,0.026432752461298493,0.0013753081864381195,0.0014591684417087365,0.0007715143484896768
292,3060,DODGE,WISCONSIN,88404.0,42.1,54111.0,25617.0,7384.0,8.352563232432919,2226.0,547,61.0,12.0,49.0,130.0,42,0,34,1,0,247,9,290,4,1,4,52,53,3,166,1,0,680,17,863,15,1,6,76,684,1881,0.3636363636363637,73.0,179.0,252.0,142.0,0.021277317768426767,0.007737206461246098,0.002850549748880141,0.0016062621600832542
293,578,KOOTENAI,IDAHO,147716.0,39.7,50924.0,26514.0,18412.0,12.4644588263966,5076.0,93,100.0,18.0,23.0,217.0,194,11,140,2,0,744,66,950,43,0,16,255,248,32,724,7,0,2641,203,3568,74,0,27,356,2421,7880,0.3072335025380711,118.0,240.0,358.0,235.0,0.053345609141866826,0.016389558341682688,0.002423569552384305,0.0015908906279617644
294,2348,MIFFLIN,PENNSYLVANIA,46585.0,43.5,42019.0,21665.0,6676.0,14.33079317376838,1105.0,403,4.0,3.0,3.0,35.0,23,0,17,0,0,136,6,159,4,0,2,29,45,2,100,0,0,565,15,680,8,0,5,58,376,1478,0.2543978349120433,7.0,38.0,45.0,38.0,0.0317269507352152,0.008071267575399806,0.0009659761725877428,0.0008157132124074273
295,2740,MADISON,TEXAS,13843.0,35.5,43209.0,17698.0,1561.0,11.276457415300152,183.0,478,13.0,2.0,7.0,24.0,18,0,54,0,0,74,3,131,4,0,5,27,35,0,93,0,0,172,14,279,6,0,9,50,316,658,0.480243161094225,15.0,31.0,46.0,26.0,0.047533049194538754,0.022827421801632594,0.003322979123022466,0.0018782055912735678
296,459,HART,GEORGIA,25518.0,43.1,37983.0,20866.0,5228.0,20.4874990202994,586.0,71,13.0,3.0,13.0,48.0,14,0,11,1,0,129,5,145,0,0,0,15,82,0,154,0,0,529,18,701,4,1,4,91,320,1584,0.202020202020202,16.0,61.0,77.0,51.0,0.06207383023747943,0.012540167724743319,0.003017477858766361,0.001998589231130966
297,2391,COLLETON,SOUTH CAROLINA,37884.0,42.2,33918.0,20297.0,7733.0,20.4123112659698,1774.0,412,46.0,16.0,24.0,87.0,90,5,45,3,0,208,12,265,9,0,5,107,232,20,282,5,0,941,97,1320,23,0,22,282,749,3224,0.23232009925558314,62.0,111.0,173.0,103.0,0.08510188997993876,0.01977087952697709,0.004566571639742371,0.002718825889557597
298,209,MERCED,CALIFORNIA,265001.0,30.6,44397.0,19130.0,62661.0,23.64557114878812,18143.0,31,132.0,22.0,91.0,265.0,581,21,149,9,0,629,134,912,15,0,75,680,1165,117,1830,6,0,4395,1433,7658,79,0,238,1488,3205,18409,0.17409962518333424,154.0,356.0,510.0,287.0,0.06946766238617967,0.012094293983796288,0.001924521039543247,0.0010830147810762978
299,180,UNION,ARKANSAS,40334.0,39.5,39836.0,22240.0,8220.0,20.379828432587885,1602.0,25,30.0,11.0,14.0,76.0,115,0,51,2,0,129,9,189,0,0,9,126,190,5,631,5,0,632,72,1335,12,0,36,243,630,3161,0.1993040177159127,41.0,90.0,131.0,87.0,0.07837060544453811,0.015619576535925026,0.0032478802003272672,0.002156989140675361
300,2706,JEFFERSON,TEXAS,252993.0,36.0,44965.0,24738.0,47369.0,18.723442941109038,8278.0,469,248.0,73.0,169.0,550.0,974,7,416,9,0,1536,183,2135,87,0,191,1261,1258,66,2321,20,0,5446,541,8308,144,0,515,1937,6799,20556,0.3307550107024713,321.0,719.0,1040.0,623.0,0.08125125991628226,0.02687426134319922,0.004110785673911927,0.002462518725814548
301,3129,LARAMIE,WYOMING,96459.0,36.7,61201.0,30249.0,9812.0,10.172197513969666,2761.0,556,135.0,20.0,123.0,288.0,93,0,16,5,0,138,14,168,7,0,5,110,183,7,477,8,0,2204,258,2939,36,0,18,245,556,6375,0.0872156862745098,155.0,411.0,566.0,308.0,0.06609025596367368,0.005764107029929815,0.005867778019676754,0.0031930664842057246
302,951,ANDERSON,KANSAS,7858.0,42.0,42146.0,21851.0,1171.0,14.902010689742935,141.0,154,0.0,0.0,0.0,17.0,4,0,1,0,0,13,1,15,2,0,0,6,8,1,28,0,0,67,4,99,3,0,1,12,42,223,0.18834080717488788,0.0,17.0,17.0,17.0,0.028378722321201325,0.0053448714685670655,0.0021634003563247646,0.0021634003563247646
303,2893,BRUNSWICK,VIRGINIA,16573.0,42.6,38858.0,19461.0,3184.0,19.211971278585647,480.0,508,8.0,1.0,3.0,32.0,4,0,5,0,0,14,3,22,4,0,0,8,8,0,27,0,0,64,5,96,12,0,1,21,60,234,0.2564102564102564,9.0,35.0,44.0,33.0,0.014119350751221867,0.0036203463464671453,0.0026549206540759066,0.00199119049055693
