PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,18580,"Corpus Christi, TX",33-3021,Detectives and Criminal Investigators,detailed,290,2.3,1.560,2.09,35.36,"73,550",7.4,18.13,23.49,34.59,44.09,57.51,"37,700","48,860","71,950","91,710","119,620",,
TX,18580,"Corpus Christi, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,870,3.7,4.695,1.00,27.54,"57,280",5.1,16.66,19.58,26.69,35.57,39.26,"34,640","40,730","55,510","73,980","81,650",,
TX,19124,"Dallas-Plano-Irving, TX Metropolitan Division",33-1012,First-Line Supervisors of Police and Detectives,detailed,290,7.4,0.120,0.17,57.29,"119,170",2.7,27.37,43.66,59.09,72.72,77.45,"56,940","90,810","122,900","151,260","161,090",,
TX,19124,"Dallas-Plano-Irving, TX Metropolitan Division",33-3012,Correctional Officers and Jailers,detailed,"4,260",9.2,1.751,0.57,20.92,"43,510",1.8,15.93,17.22,19.31,23.26,28.63,"33,140","35,820","40,160","48,390","59,560",,
TX,19124,"Dallas-Plano-Irving, TX Metropolitan Division",33-3021,Detectives and Criminal Investigators,detailed,"1,100",3.4,0.454,0.61,45.37,"94,360",2.7,21.14,27.89,42.39,64.46,68.05,"43,960","58,010","88,180","134,080","141,540",,
TX,19124,"Dallas-Plano-Irving, TX Metropolitan Division",33-3051,Police and Sheriff's Patrol Officers,detailed,"10,390",3.1,4.276,0.91,31.38,"65,280",1.7,20.57,24.02,30.95,37.52,44.10,"42,790","49,960","64,380","78,050","91,720",,
TX,19124,"Dallas-Plano-Irving, TX Metropolitan Division",33-9021,Private Detectives and Investigators,detailed,**,**,**,**,17.87,"37,160",3.5,9.59,15.87,17.62,19.36,23.65,"19,940","33,020","36,640","40,280","49,190",,
TX,21340,"El Paso, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,120,5.0,0.416,0.58,55.08,"114,570",4.0,24.33,42.32,63.96,69.97,73.37,"50,610","88,020","133,050","145,530","152,600",,
TX,21340,"El Paso, TX",33-3021,Detectives and Criminal Investigators,detailed,"1,730",0.1,5.818,7.78,39.32,"81,780",2.9,27.89,37.55,38.69,38.70,55.82,"58,010","78,110","80,480","80,500","116,110",,
TX,21340,"El Paso, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,"1,890",14.3,6.335,1.35,30.37,"63,170",2.4,20.71,24.34,31.45,36.14,38.90,"43,080","50,630","65,410","75,170","80,900",,
TX,23104,"Fort Worth-Arlington, TX Metropolitan Division",33-1012,First-Line Supervisors of Police and Detectives,detailed,200,13.3,0.200,0.28,47.80,"99,420",2.3,31.48,38.58,45.71,56.47,71.58,"65,470","80,250","95,080","117,460","148,880",,
TX,23104,"Fort Worth-Arlington, TX Metropolitan Division",33-3012,Correctional Officers and Jailers,detailed,"2,170",39.3,2.211,0.72,18.76,"39,020",5.0,15.39,16.34,17.91,19.75,26.48,"32,010","33,980","37,260","41,070","55,090",,
