State,State and area,Civilian labor force Dec 2016,Unemployed Dec 2016,Percent of labor force Dec 2016
Georgia,Brunswick,"52,247","2,762",5.3
Georgia,Columbus,"124,769","7,810",6.3
Georgia,Dalton,"62,172","3,703",6
Georgia,Gainesville,"97,646","4,083",4.2
Georgia,Hinesville,"32,917","1,933",5.9
Georgia,Macon-Bibb County,"104,860","5,956",5.7
Georgia,Rome,"43,811","2,466",5.6
Georgia,Savannah,"181,529","9,003",5
Georgia,Valdosta,"64,297","3,247",5.1
Georgia,Warner Robins,"83,581","4,516",5.4
Hawaii,Hawaii,"691,469","17,691",2.6
Hawaii,Kahului-Wailuku-Lahaina,"85,541","2,288",2.7
Hawaii,Urban Honolulu,"480,972","11,666",2.4
Idaho,Idaho,"816,378","28,961",3.5
Idaho,Boise City,"339,816","11,241",3.3
Idaho,Coeur d'Alene,"73,230","3,470",4.7
Idaho,Idaho Falls,"66,170","1,912",2.9
Idaho,Lewiston,"31,412","1,124",3.6
Idaho,Pocatello,"42,369","1,377",3.3
Illinois,Illinois,"6,481,471","363,140",5.6
Illinois,Bloomington,"96,822","4,787",4.9
Illinois,Carbondale-Marion,"60,774","3,397",5.6
Illinois,Champaign-Urbana,"120,061","5,951",5
Illinois,Chicago-Naperville-Elgin,"4,877,119","266,695",5.5
Illinois,Danville,"34,609","2,524",7.3
Illinois,Davenport-Moline-Rock Island(1),"190,678","10,198",5.3
Illinois,Decatur,"49,839","3,127",6.3
Illinois,Kankakee,"55,507","3,619",6.5
Illinois,Peoria,"181,592","11,832",6.5
Illinois,Rockford,"168,162","10,968",6.5
Illinois,Springfield,"113,343","5,394",4.8
Indiana,Indiana,"3,287,532","131,025",4
Indiana,Bloomington,"77,193","3,000",3.9
Indiana,Columbus,"44,078","1,306",3
Indiana,Elkhart-Goshen,"106,696","3,203",3
Indiana,Evansville,"157,856","6,083",3.9
Indiana,Fort Wayne,"209,990","7,836",3.7
Indiana,Indianapolis-Carmel-Anderson,"1,030,277","36,986",3.6
Indiana,Kokomo,"38,078","1,610",4.2
Indiana,Lafayette-West Lafayette,"108,009","3,797",3.5
Indiana,Michigan City-La Porte,"47,510","2,691",5.7
Indiana,Muncie,"54,674","2,596",4.7
Indiana,South Bend-Mishawaka,"158,121","6,584",4.2
Indiana,Terre Haute,"76,951","3,755",4.9
Iowa,Iowa,"1,684,529","60,330",3.6
Iowa,Ames,"57,731","1,235",2.1
Iowa,Cedar Rapids,"143,022","5,156",3.6
Iowa,Des Moines-West Des Moines,"344,010","10,993",3.2
Iowa,Dubuque,"55,314","1,943",3.5
