,State,City,Job Title,Number of Employees,Jobs (per 1000),Mean Hourly Wage,Mean Annual Wage,Median Hourly Wage,Annual Median Wage
918, NY-NJ Metropolitan Division,New York-Jersey City-White Plains,Police and Sheriff's Patrol Officers,"39,680",6.024,35.66,"74,170",35.46,"73,750"
919, NY-NJ Metropolitan Division,New York-Jersey City-White Plains,Transit and Railroad Police,"1,490",0.226,36.78,"76,500",36.45,"75,810"
920, NY-NJ Metropolitan Division,New York-Jersey City-White Plains,Private Detectives and Investigators,"1,640",0.249,32.34,"67,260",29.50,"61,360"
921, NY,Rochester,First-Line Supervisors of Police and Detectives,470,0.908,42.57,"88,550",41.39,"86,100"
922, NY,Rochester,Correctional Officers and Jailers,"1,960",3.824,29.67,"61,720",30.69,"63,840"
923, NY,Rochester,Detectives and Criminal Investigators,330,0.646,37.67,"78,340",37.49,"77,970"
924, NY,Rochester,Police and Sheriff's Patrol Officers,"1,710",3.348,32.46,"67,520",33.88,"70,470"
925, NY,Rochester,Private Detectives and Investigators,60,0.109,17.46,"36,310",15.77,"32,800"
926, NY,Syracuse,First-Line Supervisors of Police and Detectives,260,0.875,38.60,"80,280",35.51,"73,860"
927, NY,Syracuse,Correctional Officers and Jailers,610,2.033,23.52,"48,920",23.55,"48,990"
928, NY,Syracuse,Detectives and Criminal Investigators,220,0.724,41.87,"87,090",40.85,"84,980"
929, NY,Syracuse,Police and Sheriff's Patrol Officers,950,3.137,29.77,"61,930",30.48,"63,400"
930, NY,Utica-Rome,First-Line Supervisors of Police and Detectives,130,1.048,39.69,"82,560",36.39,"75,690"
931, NY,Utica-Rome,Correctional Officers and Jailers,"1,470",12.299,30.01,"62,430",31.88,"66,320"
932, NY,Utica-Rome,Detectives and Criminal Investigators,90,0.757,38.95,"81,020",39.68,"82,540"
933, NY,Utica-Rome,Police and Sheriff's Patrol Officers,550,4.557,27.63,"57,460",26.39,"54,880"
934, NY,Watertown-Fort Drum,First-Line Supervisors of Police and Detectives,60,1.354,40.51,"84,250",37.78,"78,590"
935, NY,Watertown-Fort Drum,Detectives and Criminal Investigators,80,1.934,36.76,"76,460",38.69,"80,480"
936, NY,Watertown-Fort Drum,Police and Sheriff's Patrol Officers,220,5.335,32.11,"66,790",31.58,"65,690"
937, OH,Akron,First-Line Supervisors of Police and Detectives,120,0.360,37.37,"77,720",36.84,"76,620"
938, OH,Akron,Correctional Officers and Jailers,**,**,18.88,"39,260",19.18,"39,890"
939, OH,Akron,Detectives and Criminal Investigators,150,0.465,30.74,"63,940",28.33,"58,930"
940, OH,Akron,Police and Sheriff's Patrol Officers,"1,500",4.596,28.19,"58,640",28.47,"59,230"
941, OH,Canton-Massillon,First-Line Supervisors of Police and Detectives,90,0.532,35.26,"73,340",35.41,"73,640"
942, OH,Canton-Massillon,Police and Sheriff's Patrol Officers,520,3.118,22.46,"46,710",23.35,"48,570"
