,State,City,Job Title,Number of Employees,Jobs (per 1000),Mean Hourly Wage,Mean Annual Wage,Median Hourly Wage,Annual Median Wage
1313, WA,Olympia-Tumwater,Detectives and Criminal Investigators,200,1.902,27.45,"57,100",26.83,"55,800"
1314, WA,Olympia-Tumwater,Police and Sheriff's Patrol Officers,250,2.452,35.97,"74,810",36.93,"76,810"
1315, WA Metropolitan Division,Seattle-Bellevue-Everett,First-Line Supervisors of Police and Detectives,"1,050",0.660,52.93,"110,100",53.16,"110,570"
1316, WA Metropolitan Division,Seattle-Bellevue-Everett,Correctional Officers and Jailers,"2,020",1.274,27.88,"57,990",28.12,"58,500"
1317, WA Metropolitan Division,Seattle-Bellevue-Everett,Detectives and Criminal Investigators,710,0.448,45.53,"94,700",47.32,"98,430"
1318, WA Metropolitan Division,Seattle-Bellevue-Everett,Police and Sheriff's Patrol Officers,"3,890",2.449,40.34,"83,900",40.80,"84,860"
1319, WA Metropolitan Division,Seattle-Bellevue-Everett,Private Detectives and Investigators,190,0.122,35.67,"74,190",32.50,"67,610"
1320, WA,Spokane-Spokane Valley,First-Line Supervisors of Police and Detectives,160,0.695,47.96,"99,750",47.22,"98,210"
1321, WA,Spokane-Spokane Valley,Correctional Officers and Jailers,470,2.074,24.34,"50,630",24.01,"49,950"
1322, WA,Spokane-Spokane Valley,Detectives and Criminal Investigators,300,1.311,39.00,"81,130",38.70,"80,490"
1323, WA,Spokane-Spokane Valley,Police and Sheriff's Patrol Officers,550,2.436,34.25,"71,240",35.48,"73,800"
1324, WA Metropolitan Division,Tacoma-Lakewood,First-Line Supervisors of Police and Detectives,260,0.914,44.94,"93,470",45.22,"94,070"
1325, WA Metropolitan Division,Tacoma-Lakewood,Correctional Officers and Jailers,490,1.707,28.65,"59,590",28.63,"59,540"
1326, WA Metropolitan Division,Tacoma-Lakewood,Detectives and Criminal Investigators,290,1.023,36.06,"75,010",36.59,"76,100"
1327, WA Metropolitan Division,Tacoma-Lakewood,Police and Sheriff's Patrol Officers,970,3.412,36.71,"76,350",37.32,"77,630"
1328, WA,Walla Walla,Police and Sheriff's Patrol Officers,70,2.935,32.29,"67,170",31.14,"64,770"
1329, WA,Wenatchee,First-Line Supervisors of Police and Detectives,30,0.788,41.23,"85,760",43.28,"90,030"
1330, WA,Wenatchee,Correctional Officers and Jailers,70,1.596,24.50,"50,970",25.47,"52,980"
1331, WA,Wenatchee,Detectives and Criminal Investigators,30,0.790,29.71,"61,800",25.53,"53,100"
1332, WA,Wenatchee,Police and Sheriff's Patrol Officers,120,2.884,33.91,"70,530",34.81,"72,400"
1333, WA,Yakima,First-Line Supervisors of Police and Detectives,80,0.995,41.53,"86,390",41.60,"86,530"
1334, WA,Yakima,Correctional Officers and Jailers,180,2.071,25.61,"53,260",25.85,"53,760"
1335, WA,Yakima,Detectives and Criminal Investigators,70,0.808,33.68,"70,060",27.52,"57,240"
1336, WA,Yakima,Police and Sheriff's Patrol Officers,320,3.810,33.49,"69,650",34.06,"70,850"
1337, WI,Appleton,First-Line Supervisors of Police and Detectives,50,0.384,40.65,"84,550",41.65,"86,630"
1338, WI,Appleton,Correctional Officers and Jailers,100,0.808,26.10,"54,290",26.43,"54,970"
1339, WI,Appleton,Detectives and Criminal Investigators,30,0.257,29.44,"61,230",29.39,"61,130"
1340, WI,Appleton,Police and Sheriff's Patrol Officers,330,2.666,27.84,"57,900",28.78,"59,860"
1341, WI,Eau Claire,First-Line Supervisors of Police and Detectives,60,0.733,36.34,"75,590",35.80,"74,460"
1342, WI,Eau Claire,Correctional Officers and Jailers,390,4.742,20.04,"41,670",19.46,"40,490"
1343, WI,Eau Claire,Detectives and Criminal Investigators,50,0.596,30.90,"64,270",29.15,"60,620"
1344, WI,Eau Claire,Police and Sheriff's Patrol Officers,240,2.958,23.70,"49,290",25.31,"52,640"
1345, WI,Fond du Lac,First-Line Supervisors of Police and Detectives,40,0.952,37.10,"77,170",35.67,"74,190"
1346, WI,Fond du Lac,Police and Sheriff's Patrol Officers,210,4.534,28.46,"59,200",29.52,"61,390"
1347, WI,Green Bay,First-Line Supervisors of Police and Detectives,70,0.435,37.27,"77,520",40.30,"83,830"
1348, WI,Green Bay,Correctional Officers and Jailers,400,2.324,21.06,"43,790",20.90,"43,470"
1349, WI,Green Bay,Police and Sheriff's Patrol Officers,550,3.235,29.76,"61,910",31.66,"65,860"
1350, WI,Janesville-Beloit,First-Line Supervisors of Police and Detectives,50,0.760,38.34,"79,740",36.56,"76,040"
1351, WI,Janesville-Beloit,Police and Sheriff's Patrol Officers,290,4.473,29.17,"60,680",29.05,"60,420"
1352, WI-MN,La Crosse-Onalaska,First-Line Supervisors of Police and Detectives,60,0.765,37.14,"77,250",36.07,"75,020"
1353, WI-MN,La Crosse-Onalaska,Correctional Officers and Jailers,100,1.443,23.17,"48,200",24.91,"51,800"
1354, WI-MN,La Crosse-Onalaska,Police and Sheriff's Patrol Officers,190,2.676,24.88,"51,760",26.38,"54,860"
1355, WI,Madison,First-Line Supervisors of Police and Detectives,140,0.369,41.37,"86,050",41.52,"86,370"
1356, WI,Madison,Correctional Officers and Jailers,590,1.543,19.42,"40,380",19.37,"40,300"
1357, WI,Madison,Detectives and Criminal Investigators,200,0.522,38.10,"79,250",36.71,"76,360"
1358, WI,Madison,Police and Sheriff's Patrol Officers,"1,510",3.944,27.76,"57,730",28.15,"58,550"
1359, WI,Milwaukee-Waukesha-West Allis,First-Line Supervisors of Police and Detectives,430,0.512,44.50,"92,550",44.27,"92,090"
1360, WI,Milwaukee-Waukesha-West Allis,Correctional Officers and Jailers,"1,020",1.218,20.46,"42,550",19.46,"40,490"
1361, WI,Milwaukee-Waukesha-West Allis,Detectives and Criminal Investigators,520,0.613,37.84,"78,720",35.82,"74,500"
1362, WI,Milwaukee-Waukesha-West Allis,Police and Sheriff's Patrol Officers,"3,440",4.090,32.55,"67,710",33.84,"70,390"
1363, WI,Milwaukee-Waukesha-West Allis,Private Detectives and Investigators,70,0.086,19.45,"40,450",15.33,"31,890"
1364, WI,Oshkosh-Neenah,First-Line Supervisors of Police and Detectives,60,0.616,36.34,"75,580",36.42,"75,740"
1365, WI,Oshkosh-Neenah,Correctional Officers and Jailers,520,5.664,22.45,"46,700",21.72,"45,190"
1366, WI,Oshkosh-Neenah,Detectives and Criminal Investigators,40,0.472,36.07,"75,030",36.20,"75,290"
1367, WI,Oshkosh-Neenah,Police and Sheriff's Patrol Officers,220,2.373,29.42,"61,190",31.97,"66,490"
1368, WI,Racine,First-Line Supervisors of Police and Detectives,50,0.621,41.76,"86,850",42.43,"88,250"
1369, WI,Racine,Detectives and Criminal Investigators,50,0.689,33.99,"70,700",34.49,"71,750"
1370, WI,Racine,Police and Sheriff's Patrol Officers,360,4.791,31.65,"65,820",32.45,"67,500"
1371, WI,Sheboygan,First-Line Supervisors of Police and Detectives,40,0.637,37.83,"78,690",36.99,"76,930"
1372, WI,Sheboygan,Police and Sheriff's Patrol Officers,150,2.525,28.58,"59,450",28.61,"59,510"
1373, WI,Wausau,First-Line Supervisors of Police and Detectives,50,0.776,36.20,"75,300",35.83,"74,530"
1374, WI,Wausau,Police and Sheriff's Patrol Officers,220,3.230,26.07,"54,230",26.96,"56,080"
1375, WV,Beckley,Correctional Officers and Jailers,540,12.589,16.15,"33,600",13.44,"27,950"
1376, WV,Beckley,Police and Sheriff's Patrol Officers,250,5.866,19.38,"40,320",19.62,"40,820"
1377, WV,Charleston,First-Line Supervisors of Police and Detectives,40,0.365,39.63,"82,430",34.63,"72,040"
1378, WV,Charleston,Detectives and Criminal Investigators,60,0.567,39.59,"82,340",44.39,"92,330"
1379, WV,Charleston,Police and Sheriff's Patrol Officers,770,6.790,21.54,"44,790",21.62,"44,970"
1380, WV-KY-OH,Huntington-Ashland,First-Line Supervisors of Police and Detectives,60,0.471,25.89,"53,850",25.90,"53,870"
1381, WV-KY-OH,Huntington-Ashland,Correctional Officers and Jailers,320,2.411,18.24,"37,940",16.21,"33,720"
1382, WV-KY-OH,Huntington-Ashland,Police and Sheriff's Patrol Officers,610,4.633,19.87,"41,320",20.15,"41,900"
1383, WV,Morgantown,Correctional Officers and Jailers,520,8.137,23.35,"48,570",23.73,"49,370"
1384, WV,Morgantown,Police and Sheriff's Patrol Officers,300,4.620,20.56,"42,760",20.36,"42,360"
1385, WV,Parkersburg-Vienna,Police and Sheriff's Patrol Officers,140,3.514,20.54,"42,720",20.19,"41,990"
1386, WV-OH,Weirton-Steubenville,Police and Sheriff's Patrol Officers,190,4.893,21.81,"45,360",20.93,"43,540"
1387, WV-OH,Wheeling,Correctional Officers and Jailers,540,8.653,17.98,"37,400",19.19,"39,920"
1388, WV-OH,Wheeling,Police and Sheriff's Patrol Officers,550,8.756,21.71,"45,160",21.16,"44,010"
