Unnamed: 0,County,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens
2013,New Hanover County, North Carolina,216430.0,38.4,51232.0,30375.0,37167.0,17.172757935591186,8872.0
762,Benton County, Indiana,8709.0,40.5,48069.0,23181.0,1096.0,12.584682512343552,201.0
2295,Polk County, Oregon,78470.0,37.3,54010.0,24827.0,11916.0,15.185421180068815,3674.0
1132,Evangeline Parish, Louisiana,33765.0,35.5,30724.0,18440.0,8807.0,26.083222271583,1418.0
517,Taliaferro County, Georgia,1904.0,44.0,28152.0,15469.0,593.0,31.144957983193283,84.0
1868,Lincoln County, New Mexico,19726.0,50.9,40065.0,25230.0,3515.0,17.819121971002733,545.0
2883,Alleghany County, Virginia,15919.0,48.0,45538.0,25220.0,2847.0,17.884289214146612,307.0
2511,Dyer County, Tennessee,37970.0,40.3,42833.0,23936.0,6915.0,18.211746115354227,1423.0
1616,Wake County, North Carolina,998576.0,35.6,70620.0,35752.0,105133.0,10.528292288218424,31051.0
784,Gibson County, Indiana,33684.0,40.3,49669.0,25990.0,3610.0,10.717254482840518,645.0
2484,Turner County, South Dakota,8289.0,43.9,54707.0,27405.0,837.0,10.09771986970684,99.0
2723,Lamb County, Texas,13561.0,36.3,41401.0,20933.0,2763.0,20.374603642799205,284.0
2819,Walker County, Texas,69926.0,35.1,40090.0,16419.0,12072.0,17.263964762749193,995.0
2221,Harper County, Oklahoma,3785.0,39.9,48173.0,24948.0,522.0,13.791281373844125,34.0
2556,Lynchburg city, Virginia,78755.0,28.6,40728.0,22016.0,16598.0,21.075487270649482,2728.0
2328,Elk County, Pennsylvania,31111.0,46.6,47917.0,25753.0,2688.0,8.640030857253059,802.0
461,Henry County, Georgia,214171.0,36.5,62561.0,25727.0,25657.0,11.979679788580153,9424.0
735,Woodford County, Kentucky,25591.0,41.9,59471.0,30786.0,3636.0,14.208120042202337,585.0
625,Greene County, Illinois,13390.0,42.5,42880.0,21916.0,2250.0,16.803584764749814,506.0
399,Brantley County, Georgia,18403.0,39.9,36837.0,17320.0,3846.0,20.898766505461065,659.0
1765,Kimball County, Nebraska,3713.0,46.6,40344.0,23727.0,377.0,10.153514678157824,99.0
1864,Guadalupe County, New Mexico,4469.0,41.1,26692.0,16034.0,542.0,12.127992839561427,4.0
193,Del Norte County, California,27628.0,38.1,42363.0,20282.0,5219.0,18.89025626176343,1041.0
612,Cumberland County, Illinois,10890.0,41.6,44281.0,22786.0,1747.0,16.042240587695133,324.0
3201,Rincon Municipio, Puerto Rico,14700.0,43.7,17784.0,9445.0,7068.0,48.08163265306123,744.0
1865,Harding County, New Mexico,565.0,58.0,32404.0,23339.0,81.0,14.336283185840704,13.0
1567,Clark County, Missouri,6860.0,43.7,45169.0,25149.0,928.0,13.527696793002914,147.0
1828,Hillsborough County, New Hampshire,404948.0,40.3,73189.0,36012.0,34231.0,8.453184112528028,11849.0
66,Blount County, Alabama,57704.0,40.8,46212.0,21033.0,9441.0,16.361084153611536,1367.0
1627,Benson County, North Dakota,6802.0,30.8,41530.0,20561.0,2270.0,33.37253748897382,158.0
1787,Rock County, Nebraska,1407.0,52.4,48750.0,30247.0,141.0,10.021321961620467,13.0
1854,Bernalillo County, New Mexico,674777.0,36.8,48994.0,27402.0,124678.0,18.476919041401825,24522.0
1609,Stokes County, North Carolina,46453.0,45.1,42489.0,22013.0,7052.0,15.180935569285085,1633.0
704,Muhlenberg County, Kentucky,31216.0,41.5,40445.0,19934.0,5914.0,18.945412608918506,1107.0
1701,Sanders County, Montana,11375.0,51.9,34336.0,20810.0,2493.0,21.91648351648352,418.0
2988,Walla Walla County, Washington,59809.0,37.3,48705.0,24736.0,8971.0,14.999414803792071,1801.0
1399,Freeborn County, Minnesota,30751.0,44.4,48827.0,27332.0,3383.0,11.001268251438978,730.0
1521,Prentiss County, Mississippi,25339.0,39.5,33509.0,18313.0,5485.0,21.646473815067683,969.0
2241,Murray County, Oklahoma,13792.0,42.0,51752.0,24454.0,1925.0,13.957366589327144,200.0
2980,San Juan County, Washington,16056.0,55.1,58029.0,40327.0,1749.0,10.893124065769806,407.0
0,Carroll County, Arkansas,27690.0,44.4,38145.0,20888.0,4789.0,17.295052365474902,739.0
240,Tuolumne County, California,53864.0,48.2,50731.0,29431.0,7176.0,13.322441705034905,2570.0
40,Monroe County, Arkansas,7542.0,45.5,31541.0,19849.0,2139.0,28.36117740652347,365.0
3069,Green County, Wisconsin,37050.0,42.6,57416.0,28867.0,3243.0,8.753036437246964,620.0
1634,Cavalier County, North Dakota,3867.0,50.3,65645.0,39779.0,198.0,5.120248254460822,21.0
264,Elbert County, Colorado,24225.0,45.4,87288.0,39360.0,1221.0,5.040247678018575,745.0
2913,Franklin County, Virginia,56230.0,45.4,48720.0,26188.0,7950.0,14.138360305886538,1714.0
1651,McKenzie County, North Dakota,10718.0,31.3,78179.0,37938.0,1361.0,12.698264601604777,205.0
2873,Grand Isle County, Vermont,6945.0,47.4,64295.0,35613.0,519.0,7.473002159827213,241.0
2518,Richmond County, Virginia,8868.0,43.5,44919.0,19191.0,1173.0,13.227334235453315,211.0
2769,Pecos County, Texas,15826.0,35.4,51735.0,19738.0,1334.0,8.429167193226336,259.0
1115,Knox County, Kentucky,31740.0,40.1,26553.0,15479.0,10613.0,33.43730308758664,1431.0
697,Meade County, Kentucky,28751.0,37.1,50034.0,24018.0,4426.0,15.39424715662064,1126.0
271,Hinsdale County, Colorado,856.0,56.4,51250.0,29958.0,96.0,11.214953271028037,22.0
741,Schuyler County, Illinois,7205.0,45.5,48396.0,24323.0,1411.0,19.58362248438584,198.0
2150,Union County, Tennessee,19081.0,41.5,38540.0,19030.0,4420.0,23.16440438132173,679.0
1871,McKinley County, New Mexico,74346.0,30.8,29272.0,12882.0,28089.0,37.781454281333225,4287.0
2337,Jefferson County, Pennsylvania,44575.0,43.8,43913.0,22841.0,6364.0,14.27706113292204,1095.0
2537,York County, Virginia,66919.0,39.5,83410.0,36722.0,4052.0,6.055081516460199,1942.0
1926,Putnam County, New York,99408.0,43.4,97606.0,41993.0,5061.0,5.091139546112988,3364.0
2490,Bedford County, Tennessee,46331.0,36.9,43819.0,21949.0,7423.0,16.021670156051027,1367.0
3021,Mingo County, West Virginia,25549.0,41.6,32441.0,19502.0,6594.0,25.809229324043994,1425.0
505,Rabun County, Georgia,16312.0,48.4,38277.0,24374.0,3491.0,21.401422265816574,450.0
2957,Clallam County, Washington,72969.0,50.3,47180.0,26967.0,11273.0,15.449026298839232,2854.0
2357,Potter County, Pennsylvania,17239.0,46.3,40921.0,22929.0,2395.0,13.892917222576717,430.0
3023,Monroe County, West Virginia,13496.0,47.0,35995.0,21257.0,2283.0,16.916123295791344,508.0
837,Tippecanoe County, Indiana,183397.0,27.9,47406.0,24221.0,36513.0,19.909267872429755,5842.0
2558,Manassas Park city, Virginia,15827.0,33.1,75027.0,28851.0,1364.0,8.618184115751564,390.0
2710,Jones County, Texas,19944.0,39.0,47007.0,17279.0,2151.0,10.785198555956681,209.0
626,Grundy County, Illinois,50338.0,37.2,67162.0,30232.0,4899.0,9.732210258651515,1954.0
737,Allen Parish, Louisiana,25619.0,38.6,41801.0,20296.0,3367.0,13.142589484367072,880.0
1244,Kennebec County, Maine,120953.0,44.0,48570.0,26418.0,17110.0,14.145990591386736,4260.0
2131,Perry County, Tennessee,7891.0,43.3,31274.0,18611.0,2216.0,28.08262577620073,212.0
1477,Copiah County, Mississippi,28780.0,38.0,34738.0,18188.0,7844.0,27.2550382209868,1709.0
838,Tipton County, Indiana,15447.0,44.5,54023.0,27556.0,1328.0,8.597138602964977,401.0
451,Grady County, Georgia,25145.0,39.8,35518.0,17764.0,7337.0,29.178763173593158,948.0
2645,DeWitt County, Texas,20660.0,42.0,50582.0,27370.0,3038.0,14.704743465634074,566.0
226,San Mateo County, California,754748.0,39.5,98546.0,50262.0,57490.0,7.617111936699402,23439.0
878,Delaware County, Iowa,17445.0,43.2,59452.0,29978.0,1645.0,9.42963599885354,328.0
1422,Meeker County, Minnesota,23094.0,42.1,58574.0,27974.0,2116.0,9.162553044080713,472.0
2093,Greene County, Tennessee,68502.0,44.0,36711.0,21525.0,12373.0,18.062246357770576,2438.0
2695,Hopkins County, Texas,35844.0,39.2,45748.0,23063.0,6880.0,19.194286351969644,980.0
396,Berrien County, Georgia,18986.0,39.2,35740.0,17007.0,4811.0,25.339724007163174,797.0
904,Keokuk County, Iowa,10234.0,44.1,45227.0,24650.0,1296.0,12.663670119210474,284.0
1617,Warren County, North Carolina,20324.0,46.5,33913.0,19563.0,4662.0,22.938397953158827,772.0
826,Randolph County, Indiana,25403.0,42.0,42418.0,22817.0,4319.0,17.00192890603472,775.0
940,Wapello County, Iowa,35242.0,39.5,42494.0,23116.0,6033.0,17.118778729924518,1224.0
1226,Washington County, Missouri,25002.0,40.7,36701.0,18472.0,4678.0,18.71050315974722,1114.0
2128,Morgan County, Tennessee,21688.0,41.1,39728.0,18281.0,4415.0,20.35687938030247,653.0
1266,Harford County, Maryland,249776.0,40.3,81052.0,36411.0,19012.0,7.6116200115303325,8106.0
557,Blaine County, Idaho,21427.0,42.9,58086.0,34330.0,2707.0,12.63359313016288,451.0
2294,Multnomah County, Oregon,778193.0,36.7,57449.0,33255.0,130564.0,16.777843028657415,34049.0
