,County,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployed Citizens,Men in Law-Enforcement,Women in Law-Enforcement,Law-Enforcement per 1000,Unemployment Rate (%)
102,Lee,Alabama,153947.0,30.5,45056.0,24951.0,34085.0,22.140736747062302,4579.0,457.0,88.0,3.540179412395175,2.974400280616056
103,Limestone,Alabama,90257.0,39.0,51115.0,26086.0,12290.0,13.616672391061082,3304.0,259.0,118.0,4.176961343718493,3.6606578991103187
104,Lowndes,Alabama,10565.0,40.4,27914.0,18434.0,3005.0,28.442972077614765,498.0,47.0,11.0,5.489824893516328,4.713677236157123
105,Macon,Alabama,19684.0,38.2,32390.0,18385.0,4442.0,22.566551513919936,1344.0,143.0,55.0,10.05893111156269,6.827880512091039
106,Madison,Alabama,349973.0,38.1,60150.0,33264.0,45287.0,12.94014109659888,13257.0,766.0,465.0,3.5174142005240405,3.7880065033588304
107,Marengo,Alabama,20066.0,42.2,30713.0,20359.0,5504.0,27.42948270706668,1087.0,52.0,11.0,3.1396391906707866,5.4171234924748335
108,Marion,Alabama,30239.0,43.9,34074.0,20998.0,5509.0,18.21819504613248,973.0,174.0,6.0,5.9525777968848175,3.2176989979827377
109,Marshall,Alabama,94534.0,38.8,39831.0,21767.0,19138.0,20.244568091903442,2965.0,366.0,46.0,4.358220322846806,3.1364376837963057
110,Mobile,Alabama,414291.0,37.2,44263.0,23318.0,78633.0,18.980137149974293,16358.0,956.0,393.0,3.2561653523730905,3.9484323820696083
111,Monroe,Alabama,21975.0,41.5,28182.0,16556.0,6972.0,31.726962457337883,1808.0,137.0,38.0,7.963594994311717,8.227531285551763
112,Montgomery,Alabama,227392.0,36.0,45358.0,26255.0,46982.0,20.66123698283141,9320.0,1208.0,399.0,7.067091190543203,4.098649028989587
113,Morgan,Alabama,119555.0,39.8,46883.0,24415.0,19172.0,16.03613399690519,4964.0,371.0,65.0,3.6468570950608505,4.1520639036426745
114,Perry,Alabama,9856.0,37.1,24912.0,14033.0,3605.0,36.57670454545455,339.0,28.0,22.0,5.073051948051948,3.439529220779221
115,Pickens,Alabama,20042.0,42.2,31679.0,19188.0,4575.0,22.82706316734857,968.0,73.0,9.0,4.09140804310947,4.829857299670691
116,Pike,Alabama,33277.0,31.2,33193.0,20180.0,8074.0,24.263004477567087,1546.0,121.0,26.0,4.417465516723262,4.6458514890164375
117,Randolph,Alabama,22615.0,42.8,37496.0,19584.0,4542.0,20.08401503426929,735.0,72.0,0.0,3.1837276144152113,3.2500552730488614
118,Russell,Alabama,58636.0,34.8,38400.0,20760.0,12423.0,21.186643017941197,2435.0,196.0,18.0,3.6496350364963503,4.152738931714305
119,St. Clair,Alabama,86576.0,40.0,54042.0,24474.0,11582.0,13.377841434115691,2626.0,354.0,102.0,5.267048604694142,3.0331731657734244
120,Shelby,Alabama,205951.0,38.1,72310.0,34117.0,17227.0,8.364610999703814,4976.0,850.0,116.0,4.690436074600269,2.416108686046681
